Data,bid,ask,price,usd/brl,
1479492194428797, 1.0588, 1.05895, 1.058875,3389, 
1479492195663672, 1.05876, 1.0589, 1.05883,3389, 
1479492199733047, 1.0588, 1.05894, 1.05887,3389, 
1479492200642927, 1.05884, 1.05898, 1.05891,3389, 
1479492204949627, 1.05888, 1.05901, 1.058945,3389, 
1479492205133536, 1.05883, 1.05899, 1.05891,3389, 
1479492212404059, 1.05881, 1.05897, 1.0588899999999999,3389, 
1479492220517424, 1.05876, 1.0589, 1.05883,3389, 
1479492223112163, 1.05879, 1.05893, 1.05886,3389, 
1479492224429105, 1.05876, 1.0589, 1.05883,3389, 
1479492227782740, 1.0587, 1.05886, 1.05878,3389, 
1479492233636966, 1.05869, 1.05883, 1.05876,3389, 
1479492236485967, 1.05872, 1.05886, 1.0587900000000001,3389, 
1479492238441359, 1.05875, 1.0589, 1.0588250000000001,3389, 
1479492255257864, 1.05879, 1.05893, 1.05886,3389, 
1479492258167335, 1.05886,1059, 1.05893,3389, 
1479492261096274, 1.05882, 1.05896, 1.0588899999999999,3389, 
1479492267439732, 1.05879, 1.05894, 1.058865,3389, 
1479492285208146, 1.05883, 1.05896, 1.058895,3389, 
1479492294382344, 1.05877, 1.0589, 1.058835,3389, 
1479492303180357, 1.05873, 1.05889, 1.05881, 3.3877, 
1479492304161275, 1.05869, 1.05883, 1.05876, 3.3877, 
1479492308872067, 1.05866, 1.05881, 1.058735, 3.3877, 
1479492318048996, 1.05856, 1.05872, 1.05864, 3.3877, 
1479492318488365, 1.05858, 1.05873, 1.058655, 3.3877, 
1479492323396400, 1.05861, 1.05877, 1.05869, 3.3877, 
1479492326861149, 1.05861, 1.05874, 1.058675, 3.3877, 
1479492336471656, 1.05853, 1.05868, 1.058605, 3.3877, 
1479492343521271, 1.05851, 1.05866, 1.0585849999999999, 3.3877, 
1479492345848115, 1.05848, 1.05861, 1.058545, 3.3877, 
1479492351612741, 1.05854, 1.05869, 1.058615, 3.3877, 
1479492359058733, 1.05853, 1.05869, 1.0586099999999998, 3.3877, 
1479492360441281, 1.05859, 1.05873, 1.05866, 3.3877, 
1479492365932407, 1.05857, 1.05871, 1.05864, 3.3877, 
1479492367560320, 1.05858, 1.0587, 1.05864, 3.3877, 
1479492372150981, 1.0586, 1.05872, 1.0586600000000002, 3.3877, 
1479492375508443, 1.0586, 1.05874, 1.05867, 3.3877, 
1479492382118786, 1.05864, 1.05878, 1.05871, 3.3877, 
1479492396426079, 1.05864, 1.0588, 1.05872, 3.3877, 
1479492404282493, 1.05869, 1.05883, 1.05876, 3.3877, 
1479492409873587, 1.05867, 1.05879, 1.05873, 3.3877, 
1479492415238163, 1.05873, 1.05887, 1.0588, 3.3877, 
1479492415774868, 1.05873, 1.05886, 1.058795, 3.3877, 
1479492419068440, 1.05871, 1.05886, 1.0587849999999999, 3.3877, 
1479492425571309, 1.05869, 1.05885, 1.05877, 3.3877, 
1479492428793368, 1.05873, 1.05889, 1.05881, 3.3877, 
1479492430367205, 1.05878, 1.05891, 1.058845, 3.3877, 
1479492437192770, 1.05878, 1.05893, 1.0588549999999999, 3.3877, 
1479492440708411, 1.05885, 1.05899, 1.05892, 3.3877, 
1479492445604089, 1.05888, 1.05901, 1.058945, 3.3877, 
1479492445878845, 1.0589, 1.05905, 1.058975, 3.3877, 
1479492452408338, 1.05887, 1.05902, 1.058945, 3.3877, 
1479492456813813, 1.05897, 1.05912, 1.059045, 3.3877, 
1479492459361311, 1.05905, 1.0592, 1.0591249999999999, 3.3877, 
1479492462175459,1059, 1.05914, 1.05907, 3.3877, 
1479492466586372, 1.05896, 1.0591, 1.05903, 3.3877, 
1479492480247168, 1.05892, 1.05907, 1.058995, 3.3877, 
1479492483048333, 1.05893, 1.0591, 1.059015, 3.3877, 
1479492483198737, 1.05895, 1.0591, 1.059025, 3.3877, 
1479492487457897,1059, 1.05915, 1.059075, 3.3877, 
1479492489594346, 1.05896, 1.05912, 1.05904, 3.3877, 
1479492491652124, 1.05898, 1.05912, 1.05905, 3.3877, 
